description	enabled	min diff	version	start day	stop day	weekday	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	term
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1		100					4	"spk,mag,upg"	jew	r06	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	thorns			4	7											0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1		100					4	"plt,mag,upg"	jew	r10	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	demon-heal			1	3											0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1		100					4	"amul,mag"	jew	r11	gpr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	move1			5	10											0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	1		100					4	"ring,mag"	jew	r12	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	str			1	5											0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	1		100					4	"axe,mag"	jew	r09	gpr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60											0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	1		100					4	"msk,mag,upg"	jew	r04	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	manasteal			1	4											0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	1		100					4	"lbt,mag,upg"	jew	r10	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			2	5											0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	1		100					4	"lgl,mag,upg"	jew	r09	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3											0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	1		100					4	"vbl,mag,upg"	jew	r06	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10											0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	1		100					4	"sml,mag,upg"	jew	r05	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	block			5	10											0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1		100					4	"ltp,mag,upg"	jew	r07	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3											0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1		100					4	"amul,mag"	jew	r08	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10											0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1		100					4	"ring,mag"	jew	r11	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	enr			1	5											0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1		100					4	"rod,mag"	jew	r03	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			1	5											0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1		100					4	"crn,mag,upg"	jew	r06	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30						0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1		100					4	"hbt,mag,upg"	jew	r09	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30						0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1		100					4	"hgl,mag,upg"	jew	r08	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30						0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1		100					4	"lbl,mag,upg"	jew	r07	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30						0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1		100					4	"kit,mag,upg"	jew	r04	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30						0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1		100					4	"brs,mag,upg"	jew	r05	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30						0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1		100					4	"amul,mag"	jew	r10	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	block			1	10											0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1		100					4	"ring,mag"	jew	r11	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5											0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1		100					4	"spea,mag"	jew	r12	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10											0
