Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
83	649950588	649950588	649950588	649950588	649950588	649950588	649950588	1024
84	721445153	721445153	721445153	721445153	721445153	721445153	721445153	1024
85	800804120	800804120	800804120	800804120	800804120	800804120	800804120	1024
86	888892573	888892573	888892573	888892573	888892573	888892573	888892573	1024
87	986670756	986670756	986670756	986670756	986670756	986670756	986670756	1024
88	1095204539	1095204539	1095204539	1095204539	1095204539	1095204539	1095204539	1024
89	1215677039	1215677039	1215677039	1215677039	1215677039	1215677039	1215677039	1024
90	1349401513	1349401513	1349401513	1349401513	1349401513	1349401513	1349401513	1024
91	1484341664	1484341664	1484341664	1484341664	1484341664	1484341664	1484341664	1024
92	1632775831	1632775831	1632775831	1632775831	1632775831	1632775831	1632775831	1024
93	1796053414	1796053414	1796053414	1796053414	1796053414	1796053414	1796053414	1024
94	1975658755	1975658755	1975658755	1975658755	1975658755	1975658755	1975658755	1024
95	2173224631	2173224631	2173224631	2173224631	2173224631	2173224631	2173224631	1024
96	2390547094	2390547094	2390547094	2390547094	2390547094	2390547094	2390547094	1024
97	2629601803	2629601803	2629601803	2629601803	2629601803	2629601803	2629601803	1024
98	2892561983	2892561983	2892561983	2892561983	2892561983	2892561983	2892561983	1024
99	3181818182	3181818182	3181818182	3181818182	3181818182	3181818182	3181818182	1024
100	3500000000	3500000000	3500000000	3500000000	3500000000	3500000000	3500000000	1024
