Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
82	295863916	295863916	295863916	295863916	295863916	295863916	295863916	1024
83	316574390	316574390	316574390	316574390	316574390	316574390	316574390	1024
84	338734598	338734598	338734598	338734598	338734598	338734598	338734598	1024
85	362446020	362446020	362446020	362446020	362446020	362446020	362446020	1024
86	387817241	387817241	387817241	387817241	387817241	387817241	387817241	1024
87	414964448	414964448	414964448	414964448	414964448	414964448	414964448	1024
88	444011959	444011959	444011959	444011959	444011959	444011959	444011959	1024
89	475092796	475092796	475092796	475092796	475092796	475092796	475092796	1024
90	508349292	508349292	508349292	508349292	508349292	508349292	508349292	1024
91	543933743	543933743	543933743	543933743	543933743	543933743	543933743	1024
92	582009105	582009105	582009105	582009105	582009105	582009105	582009105	1024
93	622749742	622749742	622749742	622749742	622749742	622749742	622749742	1024
94	666342224	666342224	666342224	666342224	666342224	666342224	666342224	1024
95	712986179	712986179	712986179	712986179	712986179	712986179	712986179	1024
96	762895212	762895212	762895212	762895212	762895212	762895212	762895212	1024
97	816297877	816297877	816297877	816297877	816297877	816297877	816297877	1024
98	873438728	873438728	873438728	873438728	873438728	873438728	873438728	1024
99	934579439	934579439	934579439	934579439	934579439	934579439	934579439	1024
100	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1024
